date_found,platform_discussed,theme,source,source_url,post_date,verbatim_quote,sentiment,notes
2026-05-11,Acuity,advice-seeking,Capterra,https://www.capterra.com/p/191978/Acuity-Scheduling/reviews/,,"""It works for me as a solo practitioner""",mixed,"Solo practitioner positive on Acuity overall but wished it had waitlist capability — captures the 'good-enough-but-missing-things' sentiment that mid-stage solos outgrow"
2026-05-11,Acuity,complexity,Trustpilot,https://www.trustpilot.com/review/acuityscheduling.com,2026-02-14,"""I loved this booking system...until something went wrong and I needed customer support. Help is pretty much non-existent. No phone number to call. Just fill out an online form and submit.""",negative,"Customer support is emerging as Acuity's #1 fresh grievance this week — multiple reviewers echo the no-phone, online-form-only complaint"
2026-05-11,Acuity,complexity,Trustpilot,https://www.trustpilot.com/review/acuityscheduling.com,,"""Getting someone from support to help me is hit-or-miss, and of course, if I need help on a weekend, they don't have any support team available.""",negative,"Acuity has weekday-only chat (M-F 4am-8pm ET); weekend coverage is a documented gap for solo operators working Saturdays"
2026-05-11,Acuity,complexity,Capterra,https://www.capterra.com/p/191978/Acuity-Scheduling/reviews/,,"""extremely buggy"" ... ""about 50% of new clients reporting that appointments never appear in their accounts""",negative,"Client account function unreliable; reviewer reports a circular loop where system says client already registered but appointments don't appear. Specific magnitude (50%) lifts this above generic complaint"
2026-05-11,Acuity,complexity,Capterra,https://www.capterra.com/p/191978/Acuity-Scheduling/reviews/,,"""really confusing"" ... ""buried in weird places""",negative,"Back-end navigation complaint — consistent with last week's Plutio finding that Acuity has not advanced under Squarespace ownership"
2026-05-11,Acuity,complexity,Trustpilot,https://www.trustpilot.com/review/acuityscheduling.com,,"""the system as a whole is quite good, but the details are full of annoying flaws and there's no intention of fixing anything""",mixed,"Resignation tone — user sees product as stagnant. Reinforces last week's Plutio/Squarespace-ownership-stagnation theme"
2026-05-11,Mindbody,switching,BBB,https://www.bbb.org/us/ca/san-luis-obispo/profile/computer-software-developers/mindbody-inc-1236-5002899/complaints,,"""The worst part is that I couldn't get out of my contract. If the product were actually any good then they wouldn't need to lock you in and prey on a new small business.""",negative,"BBB complaint — sharp 'prey on small business' framing. Mindbody contract lock-in narrative is intensifying vs last week"
2026-05-11,Mindbody,switching,Trustpilot,https://www.trustpilot.com/review/mindbodyonline.com,,"""Once the contract was signed, the tone shifted. Flexibility disappeared. Concerns were met with references to policy and agreement terms rather than practical problem-solving.""",negative,"Pattern-language complaint — describes a sales-vs-post-sales personality split. Useful for marketing as the inverse of what Roomwell would promise"
2026-05-11,Mindbody,cost,BBB,https://www.bbb.org/us/ca/san-luis-obispo/profile/computer-software-developers/mindbody-inc-1236-5002899/complaints,,"""Bait and switch company taking advantage of small businesses with little to no transparency about their program without actually signing up and paying ridiculous fees. Then will not allow you to cancel (one day later) when you finally enter the program... Do not sign any kind of contract with them because you will absolutely not be able to get out.""",negative,"Most quotable BBB complaint this week — small business owner who tried to cancel within hours and was denied"
2026-05-11,Mindbody,switching,BBB,https://www.bbb.org/us/ca/san-luis-obispo/profile/computer-software-developers/mindbody-inc-1236-5002899/complaints,,"""active contract through September 11, 2026""",negative,"Mindbody response language quoted by a customer arguing legal voidance of the contract. Reflects 'policy-over-problem-solving' pattern"
2026-05-11,Mindbody,cost,Pabau,https://pabau.com/blog/mindbody-pricing/,,"""Businesses are expected to sign a 12-month contract and commit $2k – $7k of their revenue to Mindbody.""",negative,"Industry analyst quantifying total contract commitment. Monthly plans range $139 (Starter) to $599 (Ultimate Plus); first concrete dollar-range floor for the segment"
2026-05-11,Mindbody,switching,BBB,https://www.bbb.org/us/ca/san-luis-obispo/profile/computer-software-developers/mindbody-inc-1236-5002899/complaints,,"""paying each month until the end of the contract period for nothing""",negative,"Customer whose onboarding promise wasn't delivered but contract still enforced. Confirms last week's lock-in pattern"
2026-05-11,Fresha,cost,Capterra,https://www.capterra.com/p/142138/Shedul-com/reviews/,,"""I'm being charged for customers who scan my in-store QR code to book""",negative,"Massage therapist — Fresha marketplace 'new client' fee being applied to QR-code-acquired clients the therapist brought themselves. New competitive angle: Fresha's free-platform-with-fees model has the same trust-erosion pattern as MassageBook directory fees"
